Feature,Coef_Dropout,Coef_Enrolled,Coef_Graduate
Mother's occupation_7,0.2901349769527038,-0.1656216099201517,-0.12451336703255175
Mother's occupation_8,0.5372667488466779,0.21508838180325499,-0.7523551306499336
Mother's occupation_9,0.04508867421892904,-0.08036953708841724,0.0352808628694881
Mother's occupation_10,-0.23757476613272013,-0.044521168658681165,0.28209593479139977
Mother's occupation_90,0.4793010335090839,-1.2100849270995864,0.7307838935905013
Mother's occupation_99,0.019691073422814558,0.3522545171622466,-0.3719455905850575
Mother's occupation_122,-0.059958029980607765,0.21014990903245984,-0.150191879051852
Mother's occupation_123,0.3646012694292744,-0.1115744392838288,-0.2530268301454436
Mother's occupation_131,-0.12933473254995706,0.23864005836083643,-0.10930532581088115
Mother's occupation_132,-0.06382050259048305,0.6217520226463931,-0.5579315200559082
